,,,,,
OCCUPATION,"ENTRY-LEVEL
EDUCATION","ON-THE-JOB
TRAINING","PROJECTED NUMBER
OF NEW JOBS","PROJECTED
GROWTH RATE",2021 MEDIAN PAY
"* Office clerks, general*",High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"* Office machine operators, except computer*",High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
* Proofreaders and copy markers*,Bachelor’s degree,None,0 to 999,Slower than average,"$40,000 to $59,999"
* Statistical assistants*,Bachelor’s degree,None,0 to 999,Slower than average,"$40,000 to $59,999"
"* Office and administrative support workers, all other*",High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
* Prepress technicians and workers*,Postsecondary nondegree award,None,Declining,Decline,"$40,000 to $59,999"
* Printing press operators*,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
* Print binding and finishing workers*,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
* Laundry and dry-cleaning workers*,No formal educational credential,Short-term on-the-job training,"10,000 to 49,999",Much faster than average,"Less than $30,000"
"* Pressers, textile, garment, and related materials*",No formal educational credential,Short-term on-the-job training,Declining,Decline,"Less than $30,000"
* Sewing machine operators*,No formal educational credential,Short-term on-the-job training,Declining,Decline,"Less than $30,000"
* Shoe and leather workers and repairers*,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
* Shoe machine operators and tenders*,High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"Less than $30,000"
"* Sewers, hand*",No formal educational credential,Moderate-term on-the-job training,Declining,Little or no change,"Less than $30,000"
"* Tailors, dressmakers, and custom sewers*",No formal educational credential,Moderate-term on-the-job training,0 to 999,Little or no change,"$30,000 to $39,999"
* Textile bleaching and dyeing machine operators and tenders*,High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"Less than $30,000"
"* Textile cutting machine setters, operators, and tenders*",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"Less than $30,000"
"* Textile knitting and weaving machine setters, operators, and tenders*",High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"* Textile winding, twisting, and drawing out machine setters, operators, 
and tenders*",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"* Extruding and forming machine setters, operators, and tenders, synthetic 
and glass fibers*",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
* Fabric and apparel patternmakers*,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
* Upholsterers*,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",Slower than average,"$30,000 to $39,999"
"* Textile, apparel, and furnishings workers, all other*",High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"Less than $30,000"
* Cabinetmakers and bench carpenters*,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",As fast as average,"$30,000 to $39,999"
* Furniture finishers*,High school diploma or equivalent,Short-term on-the-job training,0 to 999,Slower than average,"$30,000 to $39,999"
"* Model makers, wood*",High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,As fast as average,"$60,000 to $79,999"
"* Patternmakers, wood*",High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,Faster than average,"$40,000 to $59,999"
"* Sawing machine setters, operators, and tenders, wood*",High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",As fast as average,"$30,000 to $39,999"
"* Woodworking machine setters, operators, and tenders, except sawing*",High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",Slower than average,"$30,000 to $39,999"
"* Woodworkers, all other*",High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,Faster than average,"$30,000 to $39,999"
* Nuclear power reactor operators*,High school diploma or equivalent,Long-term on-the-job training,Declining,Decline,"$80,000 or more"
* Power distributors and dispatchers*,High school diploma or equivalent,Long-term on-the-job training,Declining,Decline,"$80,000 or more"
* Power plant operators*,High school diploma or equivalent,Long-term on-the-job training,Declining,Decline,"$80,000 or more"
* Stationary engineers and boiler operators*,High school diploma or equivalent,Long-term on-the-job training,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
* Water and wastewater treatment plant and system operators*,High school diploma or equivalent,Long-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
"* First-line supervisors of farming, fishing, and forestry workers*",High school diploma or equivalent,None,"1,000 to 4,999",As fast as average,"$40,000 to $59,999"
* Agricultural inspectors*,Bachelor’s degree,Moderate-term on-the-job training,0 to 999,Little or no change,"$40,000 to $59,999"
* Animal breeders*,High school diploma or equivalent,Short-term on-the-job training,0 to 999,As fast as average,"$40,000 to $59,999"
"* Graders and sorters, agricultural products*",No formal educational credential,Short-term on-the-job training,Declining,Little or no change,"Less than $30,000"
* Agricultural equipment operators*,No formal educational credential,Moderate-term on-the-job training,"5,000 to 9,999",Much faster than average,"$30,000 to $39,999"
"* Farmworkers and laborers, crop, nursery, and greenhouse*",No formal educational credential,Short-term on-the-job training,"10,000 to 49,999",Slower than average,"Less than $30,000"
"* Farmworkers, farm, ranch, and aquacultural animals*",No formal educational credential,Short-term on-the-job training,Declining,Decline,"Less than $30,000"
"* Agricultural workers, all other*",No formal educational credential,Short-term on-the-job training,0 to 999,As fast as average,"$30,000 to $39,999"
* Fishing and hunting workers*,No formal educational credential,Moderate-term on-the-job training,0 to 999,Slower than average,The annual wage is not available.
* Forest and conservation workers*,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
* Chemical plant and system operators*,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Little or no change,"$60,000 to $79,999"
* Gas plant operators*,High school diploma or equivalent,Long-term on-the-job training,Declining,Decline,"$60,000 to $79,999"
"* Petroleum pump system operators, refinery operators, and gaugers*",High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",Slower than average,"$60,000 to $79,999"
"* Plant and system operators, all other*",High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,Little or no change,"$40,000 to $59,999"
* Chemical equipment operators and tenders*,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
"* Separating, filtering, clarifying, precipitating, and still machine 
setters, operators, and tenders*",High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,Little or no change,"$40,000 to $59,999"
"* Crushing, grinding, and polishing machine setters, operators, and tenders*",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"* Grinding and polishing workers, hand*",No formal educational credential,Moderate-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"* Mixing and blending machine setters, operators, and tenders*",High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",Slower than average,"$30,000 to $39,999"
"* Cutters and trimmers, hand*",No formal educational credential,Short-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"* Cutting and slicing machine setters, operators, and tenders*",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"* Extruding, forming, pressing, and compacting machine setters, operators, 
and tenders*",High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",As fast as average,"$30,000 to $39,999"
"* Furnace, kiln, oven, drier, and kettle operators and tenders*",High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,Slower than average,"$40,000 to $59,999"
"* Inspectors, testers, sorters, samplers, and weighers*",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
* Fallers*,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
* Logging equipment operators*,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
* Log graders and scalers*,High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,As fast as average,"$30,000 to $39,999"
"* Logging workers, all other*",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
* First-line supervisors of construction trades and extraction workers*,High school diploma or equivalent,None,"10,000 to 49,999",As fast as average,"$60,000 to $79,999"
* Boilermakers*,High school diploma or equivalent,Apprenticeship,Declining,Decline,"$60,000 to $79,999"
* Brickmasons and blockmasons*,High school diploma or equivalent,Apprenticeship,"1,000 to 4,999",Slower than average,"$40,000 to $59,999"
* Stonemasons*,High school diploma or equivalent,Apprenticeship,Declining,Decline,"$40,000 to $59,999"
* Carpenters*,High school diploma or equivalent,Apprenticeship,"10,000 to 49,999",Slower than average,"$40,000 to $59,999"
* Carpet installers*,No formal educational credential,Short-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
"* Floor layers, except carpet, wood, and hard tiles*",No formal educational credential,Moderate-term on-the-job training,"1,000 to 4,999",Faster than average,"$40,000 to $59,999"
* Floor sanders and finishers*,No formal educational credential,Moderate-term on-the-job training,0 to 999,Slower than average,"$30,000 to $39,999"
* Jewelers and precious stone and metal workers*,High school diploma or equivalent,Long-term on-the-job training,0 to 999,Little or no change,"$40,000 to $59,999"
* Dental laboratory technicians*,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Little or no change,"$40,000 to $59,999"
* Medical appliance technicians*,High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,As fast as average,"$40,000 to $59,999"
* Ophthalmic laboratory technicians*,High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,As fast as average,"$30,000 to $39,999"
* Packaging and filling machine operators and tenders*,High school diploma or equivalent,Moderate-term on-the-job training,"10,000 to 49,999",As fast as average,"$30,000 to $39,999"
"* Painting, coating, and decorating workers*",No formal educational credential,Moderate-term on-the-job training,0 to 999,Slower than average,"$30,000 to $39,999"
"* Coating, painting, and spraying machine setters, operators, and tenders*",High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",Slower than average,"$30,000 to $39,999"
* Semiconductor processing technicians*,High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,Slower than average,"$30,000 to $39,999"
* Photographic process workers and processing machine operators*,High school diploma or equivalent,Short-term on-the-job training,0 to 999,As fast as average,"$30,000 to $39,999"
* Computer numerically controlled tool operators*,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
* Computer numerically controlled tool programmers*,Postsecondary nondegree award,Moderate-term on-the-job training,"5,000 to 9,999",Much faster than average,"$60,000 to $79,999"
* Adhesive bonding machine operators and tenders*,High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,Little or no change,"$30,000 to $39,999"
"* Cleaning, washing, and metal pickling equipment operators and tenders*",High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",As fast as average,"$30,000 to $39,999"
* Cooling and freezing equipment operators and tenders*,High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,As fast as average,"$40,000 to $59,999"
* Etchers and engravers*,High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,Slower than average,"$30,000 to $39,999"
* Tile and stone setters*,No formal educational credential,Long-term on-the-job training,"5,000 to 9,999",Faster than average,"$40,000 to $59,999"
* Cement masons and concrete finishers*,No formal educational credential,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
* Terrazzo workers and finishers*,High school diploma or equivalent,Apprenticeship,Declining,Decline,"$40,000 to $59,999"
* Construction laborers*,No formal educational credential,Short-term on-the-job training,"50,000 or more",As fast as average,"$30,000 to $39,999"
"* Paving, surfacing, and tamping equipment operators*",High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",As fast as average,"$40,000 to $59,999"
* Pile driver operators*,High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,As fast as average,"$60,000 to $79,999"
* Operating engineers and other construction equipment operators*,High school diploma or equivalent,Moderate-term on-the-job training,"10,000 to 49,999",As fast as average,"$40,000 to $59,999"
* Drywall and ceiling tile installers*,No formal educational credential,Moderate-term on-the-job training,"1,000 to 4,999",As fast as average,"$40,000 to $59,999"
* Tapers*,No formal educational credential,Moderate-term on-the-job training,Declining,Little or no change,"$60,000 to $79,999"
* Electricians*,High school diploma or equivalent,Apprenticeship,"50,000 or more",As fast as average,"$60,000 to $79,999"
* Glaziers*,High school diploma or equivalent,Apprenticeship,"1,000 to 4,999",As fast as average,"$40,000 to $59,999"
"* Insulation workers, floor, ceiling, and wall*",No formal educational credential,Short-term on-the-job training,"1,000 to 4,999",As fast as average,"$30,000 to $39,999"
"* Insulation workers, mechanical*",High school diploma or equivalent,Apprenticeship,0 to 999,Slower than average,"$40,000 to $59,999"
"* Painters, construction and maintenance*",No formal educational credential,Moderate-term on-the-job training,"1,000 to 4,999",Little or no change,"$40,000 to $59,999"
* Paperhangers*,No formal educational credential,Long-term on-the-job training,0 to 999,Slower than average,"$40,000 to $59,999"
"* Molders, shapers, and casters, except metal and plastic*",High school diploma or equivalent,Long-term on-the-job training,"5,000 to 9,999",Much faster than average,"$30,000 to $39,999"
"* Paper goods machine setters, operators, and tenders*",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
* Tire builders*,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",Faster than average,"$40,000 to $59,999"
* Helpers--production workers*,High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"* Production workers, all other*",High school diploma or equivalent,Moderate-term on-the-job training,"10,000 to 49,999",As fast as average,"$30,000 to $39,999"
* Pipelayers*,No formal educational credential,Short-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
"* Plumbers, pipefitters, and steamfitters*",High school diploma or equivalent,Apprenticeship,"5,000 to 9,999",Slower than average,"$40,000 to $59,999"
* Plasterers and stucco masons*,No formal educational credential,Long-term on-the-job training,"1,000 to 4,999",As fast as average,"$40,000 to $59,999"
* Reinforcing iron and rebar workers*,High school diploma or equivalent,Apprenticeship,0 to 999,Slower than average,"$40,000 to $59,999"
* Roofers*,No formal educational credential,Moderate-term on-the-job training,"1,000 to 4,999",Little or no change,"$40,000 to $59,999"
* Sheet metal workers*,High school diploma or equivalent,Apprenticeship,Declining,Little or no change,"$40,000 to $59,999"
* Structural iron and steel workers*,High school diploma or equivalent,Apprenticeship,"1,000 to 4,999",As fast as average,"$40,000 to $59,999"
* Solar photovoltaic installers*,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",Much faster than average,"$40,000 to $59,999"
"* Helpers--brickmasons, blockmasons, stonemasons, and tile and marble 
setters*",No formal educational credential,Short-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
* Helpers--carpenters*,No formal educational credential,Short-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
* Helpers--electricians*,High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"* Helpers--painters, paperhangers, plasterers, and stucco masons*",No formal educational credential,Short-term on-the-job training,0 to 999,Slower than average,"$30,000 to $39,999"
"* Helpers--pipelayers, plumbers, pipefitters, and steamfitters*",High school diploma or equivalent,Short-term on-the-job training,"1,000 to 4,999",Slower than average,"$30,000 to $39,999"
* Helpers--roofers*,No formal educational credential,Short-term on-the-job training,0 to 999,Slower than average,"$30,000 to $39,999"
"* Helpers, construction trades, all other*",No formal educational credential,Short-term on-the-job training,"1,000 to 4,999",Slower than average,"$30,000 to $39,999"
* Construction and building inspectors*,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$60,000 to $79,999"
* Elevator and escalator installers and repairers*,High school diploma or equivalent,Apprenticeship,0 to 999,Slower than average,"$80,000 or more"
* Fence erectors*,No formal educational credential,Moderate-term on-the-job training,Declining,Little or no change,"$30,000 to $39,999"
* Hazardous materials removal workers*,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Little or no change,"$40,000 to $59,999"
* Highway maintenance workers*,High school diploma or equivalent,Moderate-term on-the-job training,"10,000 to 49,999",As fast as average,"$40,000 to $59,999"
* Rail-track laying and maintenance equipment operators*,High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,As fast as average,"$60,000 to $79,999"
* Septic tank servicers and sewer pipe cleaners*,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",As fast as average,"$40,000 to $59,999"
* Miscellaneous construction and related workers*,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",As fast as average,"$30,000 to $39,999"
"* Derrick operators, oil and gas*",No formal educational credential,Short-term on-the-job training,"1,000 to 4,999",Much faster than average,"$40,000 to $59,999"
"* Rotary drill operators, oil and gas*",No formal educational credential,Moderate-term on-the-job training,"1,000 to 4,999",Much faster than average,"$40,000 to $59,999"
"* Service unit operators, oil and gas*",No formal educational credential,Moderate-term on-the-job training,"5,000 to 9,999",Much faster than average,"$40,000 to $59,999"
"* Excavating and loading machine and dragline operators, surface mining*",High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,Little or no change,"$40,000 to $59,999"
"* Earth drillers, except oil and gas*",High school diploma or equivalent,Long-term on-the-job training,"1,000 to 4,999",Faster than average,"$40,000 to $59,999"
"* Explosives workers, ordnance handling experts, and blasters*",High school diploma or equivalent,Long-term on-the-job training,0 to 999,Little or no change,"$40,000 to $59,999"
* Continuous mining machine operators*,No formal educational credential,Moderate-term on-the-job training,0 to 999,Slower than average,"$60,000 to $79,999"
"* Roof bolters, mining*",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
"* Loading and moving machine operators, underground mining*",No formal educational credential,Short-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
"* Underground mining machine operators, all other*",No formal educational credential,Moderate-term on-the-job training,Declining,Decline,"$60,000 to $79,999"
"* Rock splitters, quarry*",No formal educational credential,Short-term on-the-job training,0 to 999,As fast as average,"$30,000 to $39,999"
"* Roustabouts, oil and gas*",No formal educational credential,Moderate-term on-the-job training,"5,000 to 9,999",Much faster than average,"$30,000 to $39,999"
* Helpers--extraction workers*,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",Much faster than average,"$30,000 to $39,999"
"* Extraction workers, all other*",High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,Faster than average,"$40,000 to $59,999"
"* First-line supervisors of mechanics, installers, and repairers*",High school diploma or equivalent,None,"10,000 to 49,999",As fast as average,"$60,000 to $79,999"
"* Computer, automated teller, and office machine repairers*","Some college, no degree",Short-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
"* Radio, cellular, and tower equipment installers and repairers*",Associate’s degree,Moderate-term on-the-job training,0 to 999,As fast as average,"$60,000 to $79,999"
"* Telecommunications equipment installers and repairers, except line 
installers*",Postsecondary nondegree award,Moderate-term on-the-job training,"10,000 to 49,999",Faster than average,"$60,000 to $79,999"
* Avionics technicians*,Associate’s degree,None,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
"* Electric motor, power tool, and related repairers*",High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,As fast as average,"$40,000 to $59,999"
"* Electrical and electronics installers and repairers, transportation 
equipment*",Postsecondary nondegree award,Long-term on-the-job training,0 to 999,Slower than average,"$60,000 to $79,999"
"* Electrical and electronics repairers, commercial and industrial equipment*",Postsecondary nondegree award,Long-term on-the-job training,"1,000 to 4,999",Slower than average,"$60,000 to $79,999"
"* Electrical and electronics repairers, powerhouse, substation, and relay*",Postsecondary nondegree award,Moderate-term on-the-job training,Declining,Decline,"$80,000 or more"
"* Electronic equipment installers and repairers, motor vehicles*",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
* Audiovisual equipment installers and repairers*,Postsecondary nondegree award,Short-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
* Security and fire alarm systems installers*,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",As fast as average,"$40,000 to $59,999"
* Aircraft mechanics and service technicians*,Postsecondary nondegree award,None,"5,000 to 9,999",As fast as average,"$60,000 to $79,999"
* Automotive body and related repairers*,High school diploma or equivalent,Long-term on-the-job training,"1,000 to 4,999",Slower than average,"$40,000 to $59,999"
* Automotive glass installers and repairers*,High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,As fast as average,"$30,000 to $39,999"
* Automotive service technicians and mechanics*,Postsecondary nondegree award,Short-term on-the-job training,"10,000 to 49,999",Little or no change,"$40,000 to $59,999"
* Bus and truck mechanics and diesel engine specialists*,High school diploma or equivalent,Long-term on-the-job training,"10,000 to 49,999",As fast as average,"$40,000 to $59,999"
* Farm equipment mechanics and service technicians*,High school diploma or equivalent,Long-term on-the-job training,"5,000 to 9,999",Much faster than average,"$40,000 to $59,999"
"* Mobile heavy equipment mechanics, except engines*",High school diploma or equivalent,Long-term on-the-job training,"10,000 to 49,999",Faster than average,"$40,000 to $59,999"
* Rail car repairers*,High school diploma or equivalent,Long-term on-the-job training,0 to 999,As fast as average,"$60,000 to $79,999"
* Motorboat mechanics and service technicians*,High school diploma or equivalent,Long-term on-the-job training,"1,000 to 4,999",Faster than average,"$40,000 to $59,999"
* Motorcycle mechanics*,Postsecondary nondegree award,Short-term on-the-job training,0 to 999,As fast as average,"$30,000 to $39,999"
* Outdoor power equipment and other small engine mechanics*,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",Slower than average,"$30,000 to $39,999"
* Aircraft cargo handling supervisors*,High school diploma or equivalent,None,0 to 999,Much faster than average,"$40,000 to $59,999"
"* First-line supervisors of transportation and material moving workers, 
except aircraft cargo handling supervisors*",High school diploma or equivalent,None,"10,000 to 49,999",As fast as average,"$40,000 to $59,999"
"* Airline pilots, copilots, and flight engineers*",Bachelor’s degree,Moderate-term on-the-job training,"5,000 to 9,999",As fast as average,"$80,000 or more"
* Commercial pilots*,Postsecondary nondegree award,Moderate-term on-the-job training,"1,000 to 4,999",As fast as average,"$80,000 or more"
* Air traffic controllers*,Associate’s degree,Long-term on-the-job training,0 to 999,Little or no change,"$80,000 or more"
* Airfield operations specialists*,High school diploma or equivalent,Long-term on-the-job training,"1,000 to 4,999",Faster than average,"$40,000 to $59,999"
* Flight attendants*,High school diploma or equivalent,Moderate-term on-the-job training,"10,000 to 49,999",Much faster than average,"$60,000 to $79,999"
"* Ambulance drivers and attendants, except emergency medical technicians*",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Little or no change,"Less than $30,000"
* Driver/sales workers*,High school diploma or equivalent,Short-term on-the-job training,"50,000 or more",Much faster than average,"Less than $30,000"
* Bicycle repairers*,High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,As fast as average,"$30,000 to $39,999"
* Recreational vehicle service technicians*,High school diploma or equivalent,Long-term on-the-job training,"1,000 to 4,999",Much faster than average,"$40,000 to $59,999"
* Tire repairers and changers*,High school diploma or equivalent,Short-term on-the-job training,"1,000 to 4,999",Slower than average,"Less than $30,000"
* Mechanical door repairers*,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",Much faster than average,"$40,000 to $59,999"
"* Control and valve installers and repairers, except mechanical door*",High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,Little or no change,"$60,000 to $79,999"
"* Heating, air conditioning, and refrigeration mechanics and installers*",Postsecondary nondegree award,Long-term on-the-job training,"10,000 to 49,999",As fast as average,"$40,000 to $59,999"
* Home appliance repairers*,High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,Little or no change,"$40,000 to $59,999"
* Industrial machinery mechanics*,High school diploma or equivalent,Long-term on-the-job training,"50,000 or more",Much faster than average,"$40,000 to $59,999"
"* Maintenance workers, machinery*",High school diploma or equivalent,Long-term on-the-job training,"1,000 to 4,999",Faster than average,"$40,000 to $59,999"
* Millwrights*,High school diploma or equivalent,Apprenticeship,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
"* Refractory materials repairers, except brickmasons*",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
* Electrical power-line installers and repairers*,High school diploma or equivalent,Long-term on-the-job training,"1,000 to 4,999",Slower than average,"$60,000 to $79,999"
* Telecommunications line installers and repairers*,High school diploma or equivalent,Long-term on-the-job training,"5,000 to 9,999",Faster than average,"$60,000 to $79,999"
* Heavy and tractor-trailer truck drivers*,Postsecondary nondegree award,Short-term on-the-job training,"50,000 or more",As fast as average,"$40,000 to $59,999"
* Light truck drivers*,High school diploma or equivalent,Short-term on-the-job training,"50,000 or more",Faster than average,"$30,000 to $39,999"
"* Bus drivers, school*",High school diploma or equivalent,Short-term on-the-job training,"10,000 to 49,999",As fast as average,"$30,000 to $39,999"
"* Bus drivers, transit and intercity*",High school diploma or equivalent,Moderate-term on-the-job training,"10,000 to 49,999",Faster than average,"$40,000 to $59,999"
* Shuttle drivers and chauffeurs*,No formal educational credential,Short-term on-the-job training,"10,000 to 49,999",Much faster than average,"$30,000 to $39,999"
* Taxi drivers*,No formal educational credential,Short-term on-the-job training,"10,000 to 49,999",Much faster than average,"Less than $30,000"
"* Motor vehicle operators, all other*",No formal educational credential,Short-term on-the-job training,"5,000 to 9,999",Faster than average,"$30,000 to $39,999"
* Locomotive engineers*,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
"* Rail yard engineers, dinkey operators, and hostlers*",High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,Slower than average,"$60,000 to $79,999"
"* Railroad brake, signal, and switch operators and locomotive firers*",High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,Little or no change,"$60,000 to $79,999"
* Railroad conductors and yardmasters*,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
* Subway and streetcar operators*,High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,As fast as average,"$80,000 or more"
"* Rail transportation workers, all other*",High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,Little or no change,"$40,000 to $59,999"
* Sailors and marine oilers*,No formal educational credential,Moderate-term on-the-job training,0 to 999,Little or no change,"$40,000 to $59,999"
* Camera and photographic equipment repairers*,High school diploma or equivalent,Long-term on-the-job training,0 to 999,As fast as average,"$30,000 to $39,999"
* Medical equipment repairers*,Associate’s degree,Moderate-term on-the-job training,"10,000 to 49,999",Much faster than average,"$40,000 to $59,999"
* Musical instrument repairers and tuners*,High school diploma or equivalent,Apprenticeship,Declining,Decline,"$30,000 to $39,999"
* Watch and clock repairers*,High school diploma or equivalent,Long-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
"* Precision instrument and equipment repairers, all other*",High school diploma or equivalent,Long-term on-the-job training,0 to 999,Slower than average,"$40,000 to $59,999"
"* Maintenance and repair workers, general*",High school diploma or equivalent,Moderate-term on-the-job training,"50,000 or more",As fast as average,"$40,000 to $59,999"
* Wind turbine service technicians*,Postsecondary nondegree award,Long-term on-the-job training,"1,000 to 4,999",Much faster than average,"$40,000 to $59,999"
"* Coin, vending, and amusement machine servicers and repairers*",High school diploma or equivalent,Short-term on-the-job training,"1,000 to 4,999",As fast as average,"$30,000 to $39,999"
* Commercial divers*,Postsecondary nondegree award,Moderate-term on-the-job training,0 to 999,Much faster than average,"$60,000 to $79,999"
* Locksmiths and safe repairers*,High school diploma or equivalent,Long-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
* Manufactured building and mobile home installers*,High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
* Riggers*,High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,As fast as average,"$40,000 to $59,999"
* Signal and track switch repairers*,High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,As fast as average,"$80,000 or more"
"* Helpers--installation, maintenance, and repair workers*",High school diploma or equivalent,Short-term on-the-job training,"1,000 to 4,999",As fast as average,"$30,000 to $39,999"
"* Installation, maintenance, and repair workers, all other*",High school diploma or equivalent,Moderate-term on-the-job training,"5,000 to 9,999",Slower than average,"$40,000 to $59,999"
